DATE,RPM
01/1/2000,48263245
01/2/2000,48580127
01/3/2000,59632014
01/4/2000,57636732
01/5/2000,59749900
01/6/2000,64046964
01/7/2000,66435577
01/8/2000,65252958
01/9/2000,55470176
01/10/2000,57979416
01/11/2000,55302968
01/12/2000,54460418
01/1/2001,52049391
01/2/2001,48845243
01/3/2001,60769073
01/4/2001,58479185
01/5/2001,59190930
01/6/2001,63729974
01/7/2001,67144380
01/8/2001,67664023
01/9/2001,38207236
01/10/2001,43609263
01/11/2001,44598156
01/12/2001,47422033
01/1/2002,45699949
01/2/2002,43964813
01/3/2002,56037382
01/4/2002,51993221
01/5/2002,54695480
01/6/2002,59031826
01/7/2002,61965515
01/8/2002,62332762
01/9/2002,48731119
01/10/2002,53268604
01/11/2002,49186629
01/12/2002,55458015
01/1/2003,49830903
01/2/2003,45514803
01/3/2003,54994261
01/4/2003,50304173
01/5/2003,53070727
01/6/2003,58958204
01/7/2003,64470622
01/8/2003,63540849
01/9/2003,51022359
01/10/2003,55549640
01/11/2003,52785625
01/12/2003,57280778
01/1/2004,52332277
01/2/2004,51347537
01/3/2004,61923381
01/4/2004,60744714
01/5/2004,61384009
01/6/2004,67430529
01/7/2004,71593504
01/8/2004,69244299
01/9/2004,56494925
01/10/2004,61743819
01/11/2004,58329543
01/12/2004,61424449
01/1/2005,57936503
01/2/2005,54233804
01/3/2005,68725711
01/4/2005,63817097
01/5/2005,67072652
01/6/2005,71621917
01/7/2005,76041550
01/8/2005,72415556
01/9/2005,60791372
01/10/2005,62624694
01/11/2005,60533679
01/12/2005,63220661
01/1/2006,59828980
01/2/2006,55491266
01/3/2006,69483900
01/4/2006,67122793
01/5/2006,68435521
01/6/2006,73147256
01/7/2006,76711219
01/8/2006,73076758
01/9/2006,61249897
01/10/2006,65091487
01/11/2006,62637778
01/12/2006,65157505
01/1/2007,61896193
01/2/2007,56914815
01/3/2007,71497177
01/4/2007,68813909
01/5/2007,70947617
01/6/2007,75914661
01/7/2007,79865223
01/8/2007,78314560
01/9/2007,64781658
01/10/2007,68397379
01/11/2007,65333114
01/12/2007,66764862
01/1/2008,63504217
01/2/2008,60578995
01/3/2008,73427185
01/4/2008,67956166
01/5/2008,71791924
01/6/2008,75301714
01/7/2008,78772769
01/8/2008,76359814
01/9/2008,60292068
01/10/2008,64011438
01/11/2008,57684017
01/12/2008,62697156
